GSSCode,gridCol,gridRow,rank
E09000001,2,2,1
E09000002,5,3,11
E09000003,5,6,32
E09000004,4,5,24
E09000005,1,5,21
E09000006,1,6,28
E09000007,4,2,3
E09000008,7,5,27
E09000009,6,5,26
E09000010,4,6,31
E09000011,3,5,23
E09000012,5,2,4
E09000013,7,2,6
E09000014,1,3,7
E09000015,4,4,17
E09000016,2,6,29
E09000017,6,6,33
E09000018,3,6,30
E09000019,3,2,2
E09000020,6,2,5
E09000021,2,5,22
E09000022,6,3,12
E09000023,3,4,16
E09000024,2,3,8
E09000025,7,4,20
E09000026,5,5,25
E09000027,2,4,15
E09000028,3,3,9
E09000029,4,3,10
E09000030,5,4,18
E09000031,6,4,19
E09000032,1,4,14
E09000033,7,3,13